appid;recommendationid;aspect;labels
105600;2454739;fun arcade gameplay;Other
105600;2454739;lively sandbox environment;Updates
105600;2454739;lively sandbox environment;Optimization
105600;2454739;encourages experimentation;Gameplay
105600;2454739;encourages experimentation;Innovation
105600;3929442;hours of fun;Gameplay
105600;4836493;great gameplay;Gameplay
105600;4836493;great gameplay;Innovation
105600;4836493;improving with updates;Gameplay
105600;3683085;RPG gameplay;Gameplay
105600;3683085;cool items;Other
105600;864634;freeform gameplay;Gameplay
105600;864634;few set goals;Story
105600;864634;few set goals;Gameplay
105600;430579;addictive gameplay;Gameplay
105600;430579;unique combination of Minecraft and Zelda;Innovation
105600;430579;unique combination of Minecraft and Zelda;Gameplay
105600;3732424;engaging story missions;Story
105600;3732424;engaging story missions;Gameplay
105600;3732424;great soundtrack;Music
105600;85525;world-building;Story
105600;2571169;sprite style;Graphics
105600;2571169;sprite style;Innovation
105600;916145;best sandbox/adventure game;Gameplay
105600;916145;best sandbox/adventure game;Innovation
105600;916145;randomly generated worlds to shape;Gameplay
105600;916145;randomly generated worlds to shape;Innovation
105600;916145;building castles and underground lairs;Gameplay
105600;916145;building castles and underground lairs;Innovation
105600;916145;bosses, dungeons, treasure, hidden areas;Gameplay
105600;916145;bosses, dungeons, treasure, hidden areas;Story
105600;916145;multiplayer with up to 8 players;Multiplayer
105600;916145;PvP gameplay;Gameplay
105600;916145;PvP gameplay;Multiplayer
105600;916145;fun boss fights with friends;Gameplay
105600;916145;fun boss fights with friends;Multiplayer
105600;916145;free content updates for life;Updates
105600;916145;free content updates for life;Price
105600;1785546;unique and appealing art style;Graphics
105600;1785546;unique and appealing art style;Innovation
105600;1785546;good soundtrack;Music
105600;4006183;fun online multiplayer;Multiplayer
105600;4006183;fun online multiplayer;Gameplay
105600;4006183;variety of activities beyond mining and building;Gameplay
105600;4006183;variety of activities beyond mining and building;Innovation
105600;4632204;fun multiplayer;Multiplayer
105600;4816892;fun upcoming updates;Other
105600;4285521;similar to Minecraft;Other
105600;4285521;different from Minecraft;Other
105600;1926267;engaging story missions;Story
105600;1926267;improved graphics;Graphics
105600;1926267;improved graphics;Updates
105600;3891650;engaging new story content;Story
105600;3891650;engaging new story content;Updates
105600;3891650;noticeable visual improvements;Graphics
105600;3891650;noticeable visual improvements;Updates
105600;2314851;brilliant gameplay;Gameplay
105600;1049398;unique blend of Minecraft and Castlevania;Innovation
105600;1049398;unique blend of Minecraft and Castlevania;Gameplay
105600;1049398;single and multiplayer modes;Multiplayer
105600;1049398;single and multiplayer modes;Gameplay
105600;1049398;PvP mode with future updates;Multiplayer
105600;1049398;PvP mode with future updates;Updates
105600;1049398;regular free content updates;Updates
105600;1049398;great value for money;Price
105600;4815759;good soundtrack;Music
105600;4815759;funny dialogue;Story
105600;4815759;funny dialogue;Music
105600;786588;old school feel;Other
105600;786588;minecraft-style mining and building;Gameplay
105600;786588;minecraft-style mining and building;Innovation
105600;786588;NES-style side scrolling action;Gameplay
105600;786588;NES-style side scrolling action;Graphics
105600;4730461;engaging story;Story
105600;4730461;memorable characters;Story
105600;4730461;intense combat;Gameplay
